Cross Validation Metrics
Metric,Value
ROC AUC Mean,0.8355
ROC AUC Std,0.0221
F1 Mean,0.6161
F1 Std,0.0459

Best Threshold Based on Youden Index
Metric,Value
Threshold,0.25
Sensitivity,0.87
Specificity,0.61
Precision,0.547
F1 Score,0.671
MCC,0.462
Youden Index,0.48
False Positives,39.0
False Negatives,7.0

Threshold Optimization Results
Threshold,Sensitivity,Specificity,Precision,F1 Score,MCC,Youden Index,False Positives,False Negatives
0.1,0.981,0.27,0.421,0.589,0.311,0.251,73,1
0.15,0.963,0.42,0.473,0.634,0.405,0.383,58,2
0.2,0.926,0.51,0.505,0.654,0.434,0.436,49,4
0.25,0.87,0.61,0.547,0.671,0.462,0.48,39,7
0.3,0.815,0.64,0.55,0.657,0.434,0.455,36,10
0.35,0.759,0.68,0.562,0.646,0.42,0.439,32,13
0.4,0.685,0.74,0.587,0.632,0.413,0.425,26,17
0.45,0.574,0.82,0.633,0.602,0.404,0.394,18,23
0.5,0.463,0.86,0.641,0.538,0.354,0.323,14,29
0.55,0.463,0.88,0.676,0.549,0.383,0.343,12,29
0.6,0.389,0.92,0.724,0.506,0.377,0.309,8,33
0.65,0.333,0.93,0.72,0.456,0.341,0.263,7,36
0.7,0.222,0.98,0.857,0.353,0.336,0.202,2,42
0.75,0.13,0.98,0.778,0.222,0.223,0.11,2,47
0.8,0.019,1.0,1.0,0.036,0.11,0.019,0,53
0.85,0.0,1.0,0.0,0.0,0.0,0.0,0,54
0.9,0.0,1.0,0.0,0.0,0.0,0.0,0,54
